Student_ID,Date,Message_Type,Month
S01133,2025-01-20,Automated Reminder,2025-01
S11179,2024-11-16,Parent to Teacher,2024-11
S09537,2024-12-03,Parent to Teacher,2024-12
S00478,2025-01-25,Teacher to Parent,2025-01
S04736,2024-10-15,Parent to Teacher,2024-10
S03352,2025-02-06,Automated Reminder,2025-02
S06925,2025-02-13,Automated Reminder,2025-02
S11867,2024-12-27,Automated Reminder,2024-12
S11539,2024-09-14,Parent to Teacher,2024-09
S08620,2024-11-04,Teacher to Parent,2024-11
S04353,2024-12-15,Automated Reminder,2024-12
S05140,2024-09-17,Automated Reminder,2024-09
S09424,2024-11-03,Parent to Teacher,2024-11
S08424,2025-02-24,Teacher to Parent,2025-02
S05741,2024-10-31,Automated Reminder,2024-10
S08123,2024-09-26,Parent to Teacher,2024-09
S09157,2024-09-19,Automated Reminder,2024-09
S08382,2025-02-26,Teacher to Parent,2025-02
S07806,2025-02-18,Parent to Teacher,2025-02
S06233,2024-11-25,Parent to Teacher,2024-11
S10361,2024-12-17,Automated Reminder,2024-12
S07129,2024-12-20,Automated Reminder,2024-12
S01349,2024-09-10,Automated Reminder,2024-09
S04375,2024-09-23,Parent to Teacher,2024-09
S08806,2024-10-13,Parent to Teacher,2024-10
S11065,2024-09-16,Teacher to Parent,2024-09
S05563,2024-12-24,Parent to Teacher,2024-12
S07968,2025-03-09,Parent to Teacher,2025-03
S10194,2025-02-16,Teacher to Parent,2025-02
S11834,2025-02-25,Parent to Teacher,2025-02
S02228,2025-02-06,Teacher to Parent,2025-02
S07647,2024-12-21,Teacher to Parent,2024-12
S04588,2025-01-15,Teacher to Parent,2025-01
S03187,2025-01-23,Teacher to Parent,2025-01
S09209,2025-02-17,Teacher to Parent,2025-02
S00420,2025-01-22,Teacher to Parent,2025-01
S09984,2025-01-26,Teacher to Parent,2025-01
S07446,2024-12-31,Automated Reminder,2024-12
S01170,2024-09-24,Teacher to Parent,2024-09
S11025,2024-10-07,Automated Reminder,2024-10
S06782,2024-11-30,Teacher to Parent,2024-11
S04065,2025-02-15,Teacher to Parent,2025-02
S10596,2025-02-21,Parent to Teacher,2025-02
S10106,2025-01-07,Teacher to Parent,2025-01
S02988,2024-10-14,Automated Reminder,2024-10
S05346,2025-01-13,Parent to Teacher,2025-01
S10724,2024-11-13,Automated Reminder,2024-11
S00762,2024-11-12,Automated Reminder,2024-11
S00724,2025-02-21,Teacher to Parent,2025-02
S00052,2025-02-28,Parent to Teacher,2025-02
S10213,2024-09-30,Teacher to Parent,2024-09
S01574,2025-01-07,Automated Reminder,2025-01
S01219,2024-11-27,Automated Reminder,2024-11
S04875,2025-02-04,Parent to Teacher,2025-02
S01311,2024-10-16,Teacher to Parent,2024-10
S10125,2025-02-11,Automated Reminder,2025-02
S06252,2024-11-05,Automated Reminder,2024-11
S06385,2024-11-12,Automated Reminder,2024-11
S07823,2024-12-28,Teacher to Parent,2024-12
S11705,2024-11-14,Automated Reminder,2024-11
S11127,2024-11-04,Parent to Teacher,2024-11
S09035,2024-10-28,Automated Reminder,2024-10
S01082,2025-01-04,Parent to Teacher,2025-01
S06230,2024-12-31,Teacher to Parent,2024-12
S00395,2024-10-14,Teacher to Parent,2024-10
S08988,2024-10-15,Teacher to Parent,2024-10
S07456,2025-02-22,Parent to Teacher,2025-02
S04952,2025-03-04,Teacher to Parent,2025-03
S00644,2025-02-02,Automated Reminder,2025-02
S00520,2024-10-10,Parent to Teacher,2024-10
S11877,2025-02-17,Parent to Teacher,2025-02
S07125,2024-11-15,Teacher to Parent,2024-11
S11699,2024-11-22,Teacher to Parent,2024-11
S10185,2024-12-10,Parent to Teacher,2024-12
S00619,2024-12-06,Automated Reminder,2024-12
S04642,2024-11-29,Parent to Teacher,2024-11
S10979,2025-01-03,Automated Reminder,2025-01
S04777,2025-02-03,Automated Reminder,2025-02
S08572,2024-10-17,Parent to Teacher,2024-10
S03451,2024-10-14,Parent to Teacher,2024-10
S11481,2025-02-26,Automated Reminder,2025-02
S08022,2024-11-30,Automated Reminder,2024-11
S08496,2024-09-20,Parent to Teacher,2024-09
S11078,2025-02-28,Teacher to Parent,2025-02
S02926,2025-02-02,Teacher to Parent,2025-02
S10946,2025-02-06,Parent to Teacher,2025-02
S10383,2025-01-16,Automated Reminder,2025-01
S04970,2024-09-15,Automated Reminder,2024-09
S01874,2025-01-11,Parent to Teacher,2025-01
S08075,2024-09-08,Parent to Teacher,2024-09
S05003,2024-10-21,Teacher to Parent,2024-10
S03101,2024-09-19,Parent to Teacher,2024-09
S09637,2024-11-22,Teacher to Parent,2024-11
S07815,2024-10-12,Teacher to Parent,2024-10
S04305,2025-01-22,Automated Reminder,2025-01
S01190,2024-10-03,Parent to Teacher,2024-10
S03009,2024-12-15,Automated Reminder,2024-12
S00768,2024-09-30,Teacher to Parent,2024-09
S06660,2024-12-04,Parent to Teacher,2024-12
S00264,2024-10-01,Parent to Teacher,2024-10
S00861,2025-01-14,Teacher to Parent,2025-01
S00174,2025-01-27,Teacher to Parent,2025-01
S06253,2025-02-18,Automated Reminder,2025-02
