Student_ID,Subject,Due_Date,Status,Grade_Feedback,Guardian_Signature
S12002,Science,2024-09-10,Not Done,C-,True
S01255,History,2024-10-16,Not Done,A+,False
S04968,Arabic,2025-02-11,Done,A+,True
S07925,Geography,2024-10-03,Done,A+,False
S09980,Geography,2024-12-01,Done,B-,False
S08309,Geography,2024-12-19,Done,A,False
S11121,Math,2024-11-10,Not Done,F,True
S00175,Arabic,2024-09-09,Done,A,False
S02439,Geography,2025-01-01,Done,C,False
S08144,Math,2024-10-15,Not Done,A+,False
S08545,Math,2025-02-07,Done,F,False
S00424,History,2024-09-28,Done,B,False
S00568,Math,2025-01-28,Done,A,True
S07048,Arabic,2025-02-01,Done,A+,False
S08771,Science,2025-02-26,Not Done,A+,True
S00004,English,2025-03-02,Done,C-,False
S03421,Science,2024-12-13,Done,B,True
S05678,History,2025-02-28,Done,A+,False
S01051,Geography,2024-12-05,Done,B-,False
S08351,Geography,2024-10-06,Done,A+,True
S02892,Geography,2025-01-13,Done,B-,False
S11787,History,2024-12-07,Done,A+,False
S09553,History,2025-02-12,Done,A+,False
S00091,Geography,2025-02-04,Not Done,A,False
S05572,Math,2025-01-03,Not Done,B-,True
S03669,Science,2025-02-11,Done,C-,True
S02662,Math,2024-09-24,Pending,B,True
S02378,History,2025-01-27,Done,A+,True
S07855,History,2025-02-20,Not Done,C-,False
S10106,Math,2025-01-25,Done,B,False
S06166,Math,2024-12-19,Not Done,B,False
S07503,Geography,2025-01-04,Done,F,False
S09683,Geography,2025-02-11,Done,C-,True
S03110,Geography,2025-01-04,Done,B,False
S04766,History,2025-02-17,Done,C,False
S11466,Geography,2025-01-08,Done,A+,False
S04410,Science,2025-02-20,Done,D,False
S10067,History,2024-11-16,Not Done,B,False
S06923,History,2025-02-22,Pending,F,False
S05866,History,2025-02-13,Not Done,B-,False
S07087,History,2025-01-30,Done,C,True
S07161,History,2024-11-28,Pending,C,True
S10924,History,2024-10-24,Not Done,F,False
S07945,Math,2024-10-17,Done,B,False
S00187,Science,2025-01-14,Done,D,False
S09910,Math,2025-03-07,Done,F,False
S06993,English,2024-11-13,Done,A,True
S03451,History,2024-09-12,Pending,A,False
S06188,History,2024-10-17,Not Done,A+,True
S07794,English,2025-03-07,Not Done,D,False
S09303,History,2024-12-08,Done,A,True
S05058,Math,2024-12-02,Not Done,C,False
S03048,English,2025-01-30,Not Done,B-,False
S11320,Geography,2025-01-09,Done,A+,False
S11107,Math,2024-12-07,Done,C-,True
S07251,English,2024-11-13,Pending,C,False
