Student_ID,Subject,Exam_Score,Homework_Completion_%
S00396,Arabic,76,90.0
S06544,Math,91,100.0
S01277,Science,92,100.0
S00686,English,40,90.0
S10984,History,57,90.0
S05235,History,91,90.0
S00146,English,89,95.0
S11885,English,60,95.0
S03222,Science,95,90.0
S01968,Geography,50,95.0
S07201,Math,68,90.0
S02158,Math,68,90.0
S04713,Science,97,90.0
S00394,History,74,80.0
S07662,Science,47,100.0
S08590,Arabic,45,80.0
S01930,Math,90,80.0
S11362,Arabic,70,100.0
S03130,Math,109,95.0
S07004,Geography,53,80.0
S04249,Geography,78,100.0
S09311,Arabic,102,80.0
S05501,History,66,90.0
S00503,English,103,90.0
S05393,Arabic,110,80.0
S12113,Math,76,80.0
S10295,English,44,95.0
S05584,Science,106,95.0
S02502,Math,86,95.0
S02707,English,79,90.0
S06883,History,46,100.0
S08270,Arabic,64,100.0
S05363,Math,105,90.0
S00323,English,101,100.0
S04915,English,98,95.0
S10408,Arabic,101,100.0
S08096,History,56,90.0
S04091,History,72,100.0
S02911,History,45,95.0
S07992,Geography,96,95.0
S05620,Science,62,100.0
S05675,English,62,80.0
S11950,English,97,90.0
S00719,Geography,102,80.0
S05436,History,41,80.0
S01638,Science,105,90.0
S04441,Geography,45,95.0
S02466,Geography,110,95.0
S09377,Math,48,95.0
S10138,English,90,90.0
S07820,Geography,88,95.0
S05656,Arabic,92,90.0
S02080,Science,90,95.0
S05203,Math,110,100.0
S05366,Science,61,95.0
S00690,Geography,81,100.0
S06170,Science,61,80.0
S05994,Arabic,98,80.0
S11863,Arabic,84,100.0
S07165,Arabic,53,100.0
S09411,Arabic,92,95.0
S08666,Arabic,99,95.0
S11797,English,83,90.0
S06634,Math,47,95.0
S00984,English,50,90.0
S01003,Arabic,69,95.0
S07786,Math,109,100.0
S00355,Science,87,95.0
S06511,Math,88,100.0
S00282,History,85,95.0
S10169,English,50,100.0
S05626,English,60,90.0
S08874,Arabic,58,95.0
S05102,Arabic,47,80.0
S03146,History,56,100.0
S00733,Science,107,80.0
S03155,Arabic,107,100.0
S06351,History,91,80.0
S09358,English,64,95.0
S06469,Math,81,80.0
S10369,English,104,90.0
S07619,History,85,90.0
S00403,Math,94,80.0
S00923,Science,74,100.0
S10494,Arabic,95,80.0
S09844,Arabic,95,90.0
S05231,Geography,87,95.0
S02564,Geography,52,100.0
S08988,Geography,57,95.0
S10680,Math,72,100.0
S06720,English,90,95.0
S01503,English,85,80.0
